"Category","Annual Runoff","Lowess Smoothing Runoff"
1901,9.299452755905513,9.79705267016952
1902,10.295442913385829,10.895954394477132
1903,11.153767716535434,11.936298094101216
1904,15.442086614173231,12.90961132736409
1905,11.416021653543305,13.816097672507983
1906,18.290667322834647,14.660418199198858
1907,22.096295275590553,15.034464726282119
1908,7.857271653543308,15.021341585741583
1909,19.154309055118112,14.573237297133923
1910,12.057358267716536,14.026224795655658
1911,17.681088582677166,13.492985498103332
1912,7.672903543307087,13.234595025259356
1913,6.797909448818897,12.960380535962013
1914,16.56467716535433,12.309367988141796
1915,13.16284842519685,11.572189234564304
1916,18.452761811023624,10.912882523040789
1917,9.527074803149606,10.461403973331107
1918,6.192498031496062,9.989876300571703
1919,7.432779527559056,9.343941011308655
1920,5.277698818897638,8.68518816575835
1921,11.703423228346459,8.24569034287375
1922,12.417616141732283,8.150109682470523
1923,7.853535433070866,8.324736976272623
1924,2.97201968503937,8.403759032715152
1925,8.84277165354331,8.127981137605566
1926,6.881974409448818,7.576311475858291
1927,13.165722440944883,7.064421576001782
1928,7.519287401574803,6.799485327238664
1929,4.180112204724409,6.551142699366493
1930,5.630915354330709,6.154733824546228
1931,2.724566929133858,5.843047318691834
1932,7.95973031496063,5.840405789618248
1933,5.122214566929134,6.281772228422434
1934,4.1282362204724405,7.049716716149656
1935,8.475903543307085,7.795344317646303
1936,9.190671259842519,8.497908295176005
1937,9.616887795275591,9.330175102084839
1938,19.569460629921263,10.246771826950765
1939,4.784661417322835,10.974746909118458
1940,11.170005905511811,11.231146916888745
1941,16.07738779527559,11.163388243977176
1942,12.425088582677166,10.8938072235702
1943,12.502687007874018,10.401000704801932
1944,5.977665354330709,9.756565999822511
1945,8.581092519685038,8.878995325281101
1946,9.331641732283463,8.034769420144263
1947,5.191622047244095,7.646641376075645
1948,6.827942913385828,7.80578883798358
1949,6.086734251968505,8.273666733499882
1950,6.648748031496063,8.662932623141284
1951,11.364720472440945,8.971029747635018
1952,15.794872047244096,9.385945833614455
1953,9.980163385826772,9.764340753234888
1954,9.205616141732284,9.999214331540356
1955,5.094192913385827,9.804202675170357
1956,15.12364566929134,9.193626082122128
1957,6.907409448818898,8.525012328523445
1958,16.70306102362205,8.07712479446962
1959,5.765419291338583,7.81174742424712
1960,5.67115157480315,7.5006760331019855
1961,5.41019094488189,7.200191659873599
1962,6.467685039370079,7.14793171679905
1963,9.7910531496063,7.372225122809031
1964,4.981387795275591,7.776963722147941
1965,10.952586614173228,8.298958934768358
1966,6.744740157480316,8.805876005092435
1967,11.487009842519686,9.139436785816665
1968,5.498423228346457,9.256224799337835
1969,15.4851968503937,9.296241830689198
1970,9.745068897637795,9.376802055965126
1971,9.332791338582679,9.43980186234817
1972,6.146657480314961,9.206892170789335
1973,8.84277165354331,8.6702654816785
1974,13.642521653543309,8.182209708640404
1975,8.615724409448818,8.028864461230414
1976,4.1548208661417325,8.113620287212523
1977,1.7162185039370077,8.153249272596023
1978,12.660757874015747,8.249027318864696
1979,6.231872047244094,8.705509547563606
1980,12.652135826771655,9.381639599926526
1981,4.781931102362205,9.826269857109349
1982,14.652450787401573,9.969394242163533
1983,22.3378562992126,9.772182535697244
1984,11.112669291338582,9.418693089428269
1985,5.815570866141732,8.87351099988045
1986,12.557437007874016,8.05809985883162
1987,4.792852362204725,6.987480939080055
1988,4.539507874015748,6.12276181422877
1989,5.8243366141732285,5.702378128362838
1990,3.807064960629922,5.6716188888720165
1991,3.7281732283464573,6.161779274943741
1992,4.274667322834646,7.078033285450294
1993,13.870143700787404,8.200038680581315
1994,3.748722440944882,9.462935273111793
1995,17.00540748031496,10.526271705166053
1996,11.058781496062991,11.128928734957812
1997,13.174631889763779,11.1216630527455
1998,18.125267716535433,10.58981027016978
1999,9.597057086614175,9.88014967834736
2000,7.512677165354332,9.075156211261906
2001,4.052937007874016,8.435051126552032
2002,5.901503937007874,8.07112935362056
2003,8.387958661417322,7.958949736965808
2004,6.885423228346457,7.879959535060493
2005,11.839076771653545,7.788590375851561
2006,15.766850393700787,7.799945328703725
2007,4.830070866141733,7.8575890990410215
2008,5.643704724409449,7.729632473502784
2009,4.888269685039369,7.303593514661611
2010,7.97697440944882,6.674140430429768
2011,13.593663385826773,6.209421335659719
2012,5.550155511811024,6.049807010582241
2013,5.035275590551182,5.9373204345865185
2014,3.0310807086614178,5.8170096512104426
2015,3.9060748031496066,5.8354620846279825
2016,7.047661417322835,5.900143061619911
2017,18.294116141732285,5.942871695376506
2018,5.375990157480315,6.053975693840321
2019,11.842812992125987,6.4008771915068525
2020,4.3068562992125985,6.965292156851718
2021,3.078933070866142,7.4880669931325805
2022,4.264751968503937,7.976901597318376
2023,15.563226377952756,8.491448325274389
2024,9.87784842519685,9.082956859876608
