state,FIPS,waterRightID,priorityDate,origWaterUse,waterUse,source,basinNum,CFS
California,06,31419,12/11/84,Stockwatering,livestock,SURFACE WATER,7554,0.002228011
California,06,22039,11/7/07,Stockwatering,livestock,SURFACE WATER,9602,0
California,06,7970,7/1/84,Stockwatering,livestock,SURFACE WATER,9602,0.001106269
California,06,19261,7/1/84,Stockwatering,livestock,SURFACE WATER,9602,0.001106269
California,06,17821,1/23/57,Stockwatering,livestock,SURFACE WATER,9602,0
California,06,16263,2/10/76,Stockwatering,livestock,SURFACE WATER,1114,0
California,06,4845,10/7/93,Stockwatering,livestock,SURFACE WATER,1111,0
California,06,56143,7/1/10,Stockwatering,livestock,SURFACE WATER,1111,0.000557003
California,06,26205,5/20/65,Stockwatering,livestock,SURFACE WATER,9602,0.003868075
California,06,8571,12/11/84,Stockwatering,livestock,SURFACE WATER,7554,0.004456022
California,06,1315,2/3/61,Stockwatering,livestock,SURFACE WATER,9602,0.00464169
California,06,19262,7/1/84,Stockwatering,livestock,SURFACE WATER,9602,0.001106269
California,06,5016,11/17/97,Stockwatering,livestock,SURFACE WATER,6539,0
California,06,2181,7/1/84,Stockwatering,livestock,SURFACE WATER,9602,0.00309446
California,06,30201,12/1/77,Stockwatering,livestock,SURFACE WATER,6532,0
California,06,7919,7/1/84,Stockwatering,livestock,SURFACE WATER,7554,0.000232085
California,06,4917,11/7/07,Stockwatering,livestock,SURFACE WATER,9602,0.003790714
California,06,40153,1/2/98,Stockwatering,livestock,SURFACE WATER,1111,0
California,06,34248,7/9/98,Stockwatering,livestock,SURFACE WATER,6539,0
California,06,19263,7/1/84,Stockwatering,livestock,SURFACE WATER,9602,0.001106269
California,06,56477,7/1/10,Stockwatering,livestock,SURFACE WATER,1111,0.002
California,06,56131,7/1/10,Stockwatering,livestock,SURFACE WATER,1111,0.004
California,06,15558,8/18/81,Stockwatering,livestock,SURFACE WATER,6539,0.00194951
California,06,42267,1/4/78,Stockwatering,livestock,SURFACE WATER,3305,0
California,06,1975,1/5/78,Stockwatering,livestock,SURFACE WATER,6539,0
California,06,17055,11/6/98,Stockwatering,livestock,SURFACE WATER,6539,0
California,06,32027,11/30/55,Stockwatering,livestock,SURFACE WATER,3305,0
California,06,45384,11/14/97,Stockwatering,livestock,SURFACE WATER,6532,0
California,06,18979,4/12/67,Stockwatering,livestock,SURFACE WATER,1114,0
California,06,45466,1/2/98,Stockwatering,livestock,SURFACE WATER,3304,0
California,06,30308,12/29/77,Stockwatering,livestock,SURFACE WATER,5511,0
California,06,39441,9/26/94,Stockwatering,livestock,SURFACE WATER,6539,0
