event_id,event_data_dbformat_project,event_data_dbformat_tran,gear_code,vessel_code,event_data_dbformat_date,start_time,start_lat,start_long,master_id,event_id_1,enviro_conditions_dbformat,surface_temp,surface_sal,wind_direction,wind_speed,weather,mammals,birds,enviro_conditions_dbformat_1,boat_code,code_project_project_code,project_name,gear_code_1,gear_type,do,notes,end_lat,end_long,start_bottom_depth,end_time,start_gear_depth,end_gear_depth,end_bottom_depth,speed,turbidity
13BPB_000_A0_0_0716_001,A,BPB_000,0,0,2013-07-16T00:00:00.000,1899-12-31T13:25:00.000,71.38609,-156.45964,BPB_000,13BPB_000_A0_0_0716_001,2013-07-16T00:00:00.000,7.4,19,E,5,foggy,none,none,A,0,A,ACES,0,Beach seine,,,,,,,,,,,
13BPB_000_A0_0_0726_002,A,BPB_000,0,0,2013-07-26T00:00:00.000,1899-12-31T12:19:00.000,71.38608,-156.45972,BPB_000,13BPB_000_A0_0_0726_002,2013-07-26T00:00:00.000,1.2,25.2,W,5,high overcast,none,guillemots ~6,A,0,A,ACES,0,Beach seine,9.89,,,,,,,,,,
13BPB_000_A0_0_0807_003,A,BPB_000,0,0,2013-08-07T00:00:00.000,1899-12-31T12:25:00.000,71.38606,-156.45944,BPB_000,13BPB_000_A0_0_0807_003,2013-08-07T00:00:00.000,5.2,27,E,6,overcast,none,~5 GLGU,A,0,A,ACES,0,Beach seine,10.1,,,,,,,,,,
13BPB_000_A0_0_0815_004,A,BPB_000,0,0,2013-08-15T00:00:00.000,1899-12-31T14:15:00.000,71.38607,-156.45943,BPB_000,13BPB_000_A0_0_0815_004,2013-08-15T00:00:00.000,7.1,29.2,E,5,mostly cloudy,~200 belugas swam by about 30 mins before set. No belugas nearby during sampling,,A,0,A,ACES,0,Beach seine,9.69,,,,,,,,,,
13BPP_000_A0_0_0714_001,A,BPP_000,0,0,2013-07-14T00:00:00.000,1899-12-31T13:30:00.000,71.36126,-156.36417,BPP_000,13BPP_000_A0_0_0714_001,2013-07-14T00:00:00.000,2.8,26,E,15,partly high overcast,ring seals n=5-10,"SAGU, GLGU, ARTE, RTLO, BLKI, Jaegers, ~100s",A,0,A,ACES,0,Beach seine,,lots of krill,,,,,,,,,
13BPP_000_A0_0_0721_002,A,BPP_000,0,0,2013-07-21T00:00:00.000,1899-12-31T12:21:00.000,71.36111,-156.36343,BPP_000,13BPP_000_A0_0_0721_002,2013-07-21T00:00:00.000,4.5,25.9,SW,1,"sunny, high cirrus clouds",1 ring seal,3 GLGU,A,0,A,ACES,0,Beach seine,12.41,"Warm out, ~65 deg F. Little wind, lots of bugs.",,,,,,,,,
13BPP_000_A0_0_0731_003,A,BPP_000,0,0,2013-07-31T00:00:00.000,1899-12-31T14:30:00.000,71.36121,-156.36395,BPP_000,13BPP_000_A0_0_0731_003,2013-07-31T00:00:00.000,5.9,26.9,E,3,"overcast, calm",none,~12 guillemots,A,0,A,ACES,0,Beach seine,9.66,"Ice close to beach, guillemots diving nearby.",,,,,,,,,
13BPP_000_A0_0_0811_004,A,BPP_000,0,0,2013-08-11T00:00:00.000,1899-12-31T13:33:00.000,71.36116,-156.36334,BPP_000,13BPP_000_A0_0_0811_004,2013-08-11T00:00:00.000,4.4,35,E,1,"sunny, calm",none,~30 phalaropes near shore,A,0,A,ACES,0,Beach seine,10.46,salinity taken with refractometer; ice in distance; extemely strong current around plover point [partially collapsed net],,,,,,,,,
13BPP_000_A0_0_0815_005,A,BPP_000,0,0,2013-08-15T00:00:00.000,1899-12-31T12:03:00.000,71.3612,-156.36363,BPP_000,13BPP_000_A0_0_0815_005,2013-08-15T00:00:00.000,6.8,27.6,E,7,overcast,~200 belugas by Pt. Barrow but none near Plover Pt. at time of sampling,"2 GLGU, 4 guillemots",A,0,A,ACES,0,Beach seine,9.96,,,,,,,,,,
13BRX-NF01_Z3_0_0826_003,Z,BRX_NF01,0,3,2013-08-26T00:00:00.000,1899-12-31T14:20:00.000,71.30042,-156.77069,BRX-NF01,13BRX-NF01_Z3_0_0826_003,2013-08-26T00:00:00.000,4,25,E,20,"Snow, sun",,,Z,2,Z,SHELFZ,0,Beach seine,,Got salmon berry pie!,0,0,,,,,,,
13BT2_000_A0_0_0719_001,A,BT2_000,0,0,2013-07-19T00:00:00.000,1899-12-31T12:56:00.000,71.37851,-156.43126,BT2_000,13BT2_000_A0_0_0719_001,2013-07-19T00:00:00.000,4.3,29.2,W,2,"foggy, calm",none,guillemots n=~50,A,0,A,ACES,0,Beach seine,,poor set. Reset slightly down the beach for a 2nd haul,,,,,,,,,
13BT2_000_A0_0_0719_002,A,BT2_000,0,0,2013-07-19T00:00:00.000,1899-12-31T13:45:00.000,71.37801,-156.43094,BT2_000,13BT2_000_A0_0_0719_002,2013-07-19T00:00:00.000,4.3,29.2,W,1,"foggy, calm",none,guillemots n=4,A,0,A,ACES,0,Beach seine,,,,,,,,,,,
13BT2_000_A0_0_0723_003,A,BT2_000,0,0,2013-07-23T00:00:00.000,1899-12-31T12:18:00.000,71.37818,-156.43098,BT2_000,13BT2_000_A0_0_0723_003,2013-07-23T00:00:00.000,3.1,26,W,10,overcast,none,GLGU ~3,A,0,A,ACES,0,Beach seine,10.85,,,,,,,,,,
13BT2_000_A0_0_0804_004,A,BT2_000,0,0,2013-08-04T00:00:00.000,1899-12-31T12:35:00.000,71.37814,-156.43098,BT2_000,13BT2_000_A0_0_0804_004,2013-08-04T00:00:00.000,7.6,26.8,NW,3,overcast,none,10 GLGU nearby,A,0,A,ACES,0,Beach seine,9.22,,,,,,,,,,
13BT2_000_A0_0_0811_004,A,BT2_000,0,0,2013-08-11T00:00:00.000,1899-12-31T11:50:00.000,71.37778,-156.43044,BT2_000,13BT2_000_A0_0_0811_004,2013-08-11T00:00:00.000,3.5,36,SW,2,"foggy, some sun",1 ring seal,~25 phalaropes in surf,A,0,A,ACES,0,Beach seine,10.57,salinity taken with refractometer (31 on YSI),,,,,,,,,
13BT2_000_A0_0_0815_005,A,BT2_000,0,0,2013-08-15T00:00:00.000,1899-12-31T13:08:00.000,71.37781,-156.43036,BT2_000,13BT2_000_A0_0_0815_005,2013-08-15T00:00:00.000,6.4,27.2,E,8,overcast,~200 belugas in the area about 1 hr prior to sampling. None present at time of sampling but reappred at Pt. Barrow soon after,2 GLGU nearby,A,0,A,ACES,0,Beach seine,9.88,,,,,,,,,,
