event_id,date,field_ssp,lth,lth_code,sex,wt,sin,bag_id,lth_2,lth_2_code,comments,final_ssp,invest_no
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Hamecon,86,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,171,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,171,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,139,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,149,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,150,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,153,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,160,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,161,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,164,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,166,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,169,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,172,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,183,FL,M,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,166,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,166,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,148,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,156,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,157,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,161,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,169,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,174,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,175,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,180,FL,F,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,89,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,89,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,93,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,93,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,96,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,96,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,100,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,100,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,103,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,103,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,105,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,105,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,114,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,114,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,127,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,127,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,99,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,99,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,99,FL,,,,,,,,,
13MNX-OF01_Z4_12_0828_019,2013-08-28T00:00:00.000,Arctic cod,102,FL,,,,,,,,,
